#Conversions to 1990 dollars using Consumer Price Index (USInflationCalculator.com),
2019,0.51
2018,0.52
2017,0.53
2016,0.54
2015,0.55
2014,0.55
2013,0.56
2012,0.57
2011,0.58
2010,0.6
2009,0.61
2008,0.61
2007,0.63
2006,0.65
2005,0.67
2004,0.69
2003,0.71
2002,0.73
2001,0.74
2000,0.76
1999,0.78
1998,0.8
1997,0.81
1996,0.83
1995,0.86
1994,0.88
1993,0.9
1992,0.93
1991,0.96
1990,1
1989,1.05
1988,1.1
1987,1.15
1986,1.19
1985,1.21
1984,1.26
1983,1.31
1982,1.35
1981,1.44
1980,1.59
1979,1.8
1978,2
1977,2.16
1976,2.3
1975,2.43
1974,2.65
1973,2.94
1972,3.13
1971,3.23
1970,3.37
